,method,observation_sequence,n_states,time,log_prob
19976,bw_only,9,11,0.0014668999938294291,-6.931471805599453
19977,ga_and_bw,9,11,0.8279667000751942,-6.4082236618349055
19978,random_only,9,11,0.000495100044645369,-25.964526138633214
19979,ga_only,9,11,0.8262070999480784,-13.247706026496866
19980,bw_only,9,11,0.001766699948348105,-7.77661295762166
19981,ga_and_bw,9,11,0.8216707999818027,-5.205379370888768
19982,random_only,9,11,0.0005309999687597156,-33.610304658157624
19983,ga_only,9,11,0.830824900069274,-14.337487663951265
19984,bw_only,9,11,0.0015492000384256244,-2.772588722239781
19985,ga_and_bw,9,11,0.8222362999804318,-2.772588722239781
19986,random_only,9,11,0.0005256999284029007,-28.972066412586233
19987,ga_only,9,11,0.8272448000498116,-13.952868997105886
19988,bw_only,9,11,0.0014911999460309744,-2.772588722239781
19989,ga_and_bw,9,11,0.8195635000010952,-6.591673732008659
19990,random_only,9,11,0.0005182999884709716,-31.195617561647786
19991,ga_only,9,11,0.8239791999803856,-13.03104983229967
19992,bw_only,9,11,0.0015154998982325196,-9.704060527839232
19993,ga_and_bw,9,11,0.8260717000812292,-1.3862943611198906
19994,random_only,9,11,0.0005238000303506851,-39.89203180498676
19995,ga_only,9,11,0.8193889999529347,-13.68147811864809
19996,bw_only,9,11,0.00149940000846982,-8.317766166719343
19997,ga_and_bw,9,11,0.821715599973686,-4.158883083359672
19998,random_only,9,11,0.0005299999611452222,-32.81015549966669
19999,ga_only,9,11,0.8327530999667943,-13.254498274328153
20000,bw_only,0,12,0.0013388999504968524,-2.2204460492503128e-16
20001,ga_and_bw,0,12,0.8469105999683961,7.395570986446986e-32
20002,random_only,0,12,0.000534999999217689,-12.553083771314677
20003,ga_only,0,12,0.8358141999924555,-4.802843065672978
20004,bw_only,0,12,0.001280499971471727,0.0
20005,ga_and_bw,0,12,0.8439425999531522,0.0
20006,random_only,0,12,0.0005375000182539225,-13.604086104909141
20007,ga_only,0,12,0.8413838000269607,-5.173198469643356
20008,bw_only,0,12,0.0012865000171586871,0.0
20009,ga_and_bw,0,12,0.8395272999769077,7.395570986446986e-32
20010,random_only,0,12,0.0005059000104665756,-14.714938023196055
20011,ga_only,0,12,0.8450825000181794,-5.2372241394540975
20012,bw_only,0,12,0.0012914000544697046,0.0
20013,ga_and_bw,0,12,0.8366897000232711,-2.2204460492503128e-16
20014,random_only,0,12,0.0005010000895708799,-10.443354839806222
20015,ga_only,0,12,0.8427200000733137,-5.076355042050807
20016,bw_only,0,12,0.001594599918462336,-1.3862943611198906
20017,ga_and_bw,0,12,0.8517035000259057,-2.220446049250312e-16
20018,random_only,0,12,0.000534699996933341,-17.665620392343254
20019,ga_only,0,12,0.8404694999335334,-4.90348855421561
20020,bw_only,0,12,0.001280499971471727,0.0
20021,ga_and_bw,0,12,0.8469937000190839,-2.220446049250312e-16
20022,random_only,0,12,0.0005534999072551727,-15.539451626238904
20023,ga_only,0,12,0.8647927000420168,-5.569459834585256
20024,bw_only,0,12,0.0014808999840170145,-4.797330762571977
20025,ga_and_bw,0,12,0.9037191999377683,0.0
20026,random_only,0,12,0.000506000011228025,-15.32419137645095
20027,ga_only,0,12,0.8667968999361619,-4.673519823924498
20028,bw_only,0,12,0.0015212999423965812,-1.3862943611198906
20029,ga_and_bw,0,12,0.8925539000192657,0.0
20030,random_only,0,12,0.0005034999921917915,-13.376232312958797
20031,ga_only,0,12,0.8650205999147147,-4.795513163428719
20032,bw_only,0,12,0.0013232000637799501,-1.3862943611198908
20033,ga_and_bw,0,12,0.86945839994587,-2.2204460492503128e-16
20034,random_only,0,12,0.0005277999443933368,-13.558226760818606
20035,ga_only,0,12,0.8591649000300094,-5.1946273408954955
20036,bw_only,0,12,0.001295299967750907,2.2204460492503136e-16
20037,ga_and_bw,0,12,0.8529117999132723,0.0
20038,random_only,0,12,0.0005406000418588519,-10.970081129606992
20039,ga_only,0,12,0.8476504000136629,-5.056293498156642
20040,bw_only,0,12,0.0012889000354334712,7.395570986446986e-32
20041,ga_and_bw,0,12,0.8371582999825478,0.0
20042,random_only,0,12,0.0005350999999791384,-12.220859804316838
20043,ga_only,0,12,0.8396887999260798,-4.833443616714318
20044,bw_only,0,12,0.0013058000477030873,-2.2204460492503128e-16
20045,ga_and_bw,0,12,0.8357440999243408,7.395570986446986e-32
20046,random_only,0,12,0.0005370000144466758,-16.8224585884216
20047,ga_only,0,12,0.8437701999209821,-4.7388822610953705
20048,bw_only,0,12,0.0012651999713853002,-1.3866007405980996
20049,ga_and_bw,0,12,0.8405980999814346,0.0
20050,random_only,0,12,0.0005052000051364303,-16.007913954723772
20051,ga_only,0,12,0.8396922999527305,-5.243215043481856
20052,bw_only,0,12,0.0013237000675871968,-2.2204460492503128e-16
20053,ga_and_bw,0,12,0.8425878999987617,-1.8916582934651194
20054,random_only,0,12,0.0005376000190153718,-12.549078436197355
20055,ga_only,0,12,0.8417454999871552,-5.189174614863613
20056,bw_only,0,12,0.0012728999136015773,7.395570986446986e-32
20057,ga_and_bw,0,12,0.8491983000421897,0.0
20058,random_only,0,12,0.0005394999170675874,-22.86950593761732
20059,ga_only,0,12,0.8384390000719577,-4.721355039879216
20060,bw_only,0,12,0.0012870000209659338,-2.772589185809741
20061,ga_and_bw,0,12,0.8378201000159606,0.0
20062,random_only,0,12,0.0005400999216362834,-15.402032981068853
