,method,observation_sequence,n_states,time,log_prob
95,ga_only,3,4,1.2515749000012875,-4.626389715081588
96,bw_only,4,4,0.0006605999660678208,-3.125937829208933
97,ga_and_bw,4,4,1.2458645000006072,-3.1259378292089313
98,random_only,4,4,0.0001569000305607915,-9.668447131850042
99,ga_only,4,4,1.1444627000018954,-4.724745896738842
100,bw_only,5,4,0.0020727000082843006,7.395570986446986e-32
101,ga_and_bw,5,4,1.2433943999931216,0.0
102,random_only,5,4,0.00017780001508072019,-9.882591775668647
103,ga_only,5,4,1.2478173999697901,-1.3098610335950474
104,bw_only,6,4,0.0006252999883145094,-6.761583579755739
105,ga_and_bw,6,4,1.1983111999579705,-6.068578728285504
106,random_only,6,4,0.00015579996397718787,-13.349661907102544
107,ga_only,6,4,1.2109079000074416,-7.854956011624372
108,bw_only,7,4,0.0007462000357918441,-7.114921875773232
109,ga_and_bw,7,4,1.2513337999698706,-8.57043770593506
110,random_only,7,4,0.0002142000012099743,-19.185796880612585
111,ga_only,7,4,1.1639368000323884,-11.155599779964506
112,bw_only,8,4,0.0005123000009916723,-2.2493405785065717
113,ga_and_bw,8,4,9.442991300020367,-1.1507282898071483
114,random_only,8,4,0.00027350004529580474,-6.18736662034209
115,ga_only,8,4,9.50033180002356,-2.071935717584731
116,bw_only,9,4,0.0007276000105775893,-14.115615153439153
117,ga_and_bw,9,4,1.2933053000015207,-11.61360303272367
118,random_only,9,4,0.0001970999874174595,-30.020107092105096
119,ga_only,9,4,1.2905157000059262,-14.081839427654455
120,bw_only,0,5,0.0006613999721594155,-2.7725887222422645
121,ga_and_bw,0,5,1.320934000017587,-2.773134827817537
122,random_only,0,5,0.000374399998690933,-14.445738928143223
123,ga_only,0,5,1.3338447999558412,-5.471601973562244
124,bw_only,1,5,0.0006861999863758683,-3.365101485101344
125,ga_and_bw,1,5,1.257168099982664,-1.3862943611199385
126,random_only,1,5,0.0001829999964684248,-7.766326014639097
127,ga_only,1,5,1.2590225000167266,-4.095516407928013
128,bw_only,2,5,0.0007534999749623239,-6.408223661834905
129,ga_and_bw,2,5,1.338526500039734,-4.68213122712422
130,random_only,2,5,0.0002614000113680959,-17.759227670557607
131,ga_only,2,5,1.2655216999701224,-7.593743498200001
132,bw_only,3,5,0.0005959999980404973,-2.7729714753634176
133,ga_and_bw,3,5,1.2585507999756373,-4.1588830833596715
134,random_only,3,5,0.00023009994765743613,-8.311092851124679
135,ga_only,3,5,1.2910679999622516,-3.513579074474515
136,bw_only,4,5,0.001888900005724281,-4.1588830833596715
137,ga_and_bw,4,5,1.252349200018216,-1.9095425048844379
138,random_only,4,5,0.00020929996389895678,-14.81068826790211
139,ga_only,4,5,1.2892630000133067,-4.089736250787114
140,bw_only,5,5,0.0006947999936528504,0.0
141,ga_and_bw,5,5,1.2515430999919772,6.661338147750941e-16
142,random_only,5,5,0.00022790004732087255,-9.998033303764915
143,ga_only,5,5,1.2627681999583729,-1.5696400115957552
144,bw_only,6,5,0.0007541000377386808,-5.207424247590194
145,ga_and_bw,6,5,1.2795398000162095,-5.375278561519235
146,random_only,6,5,0.00026350002735853195,-15.837624357336225
147,ga_only,6,5,1.2713902000105008,-7.2648663769968405
148,bw_only,7,5,0.0008025999995879829,-12.208077540191228
149,ga_and_bw,7,5,1.304134799982421,-5.205379370888769
150,random_only,7,5,0.0002899999963119626,-22.045655676374373
151,ga_only,7,5,1.286992300010752,-8.465339376738306
152,bw_only,8,5,0.0006153000285848975,-1.3862943611198906
153,ga_and_bw,8,5,1.2645834000431933,0.0
154,random_only,8,5,0.00020159996347501874,-7.393873974135618
155,ga_only,8,5,1.3662925999960862,-1.4356138942547998
156,bw_only,9,5,0.0008711999980732799,-9.887510598012993
157,ga_and_bw,9,5,1.2513743999879807,-11.090354888959125
158,random_only,9,5,0.00023599999258294702,-34.41820824882437
159,ga_only,9,5,1.3491253000102006,-14.03410364190541
160,bw_only,0,6,0.0007252999930642545,-1.9613654435426748
161,ga_and_bw,0,6,1.395615599991288,-1.3867539318955833
162,random_only,0,6,0.000505999953020364,-16.168997337344095
163,ga_only,0,6,1.3981481000082567,-4.744762967785395
164,bw_only,1,6,0.0008928999886848032,-2.7744756078062203
165,ga_and_bw,1,6,1.3996815999853425,-1.3862943611198926
166,random_only,1,6,0.00047969998558983207,-11.014040189365938
167,ga_only,1,6,1.3507484000292607,-2.8299342919950212
168,bw_only,2,6,0.0009881999576464295,-6.068425588244592
169,ga_and_bw,2,6,1.3414723000023514,-4.68213122712422
170,random_only,2,6,0.00044329999946057796,-23.61255815402413
171,ga_only,2,6,1.488553100032732,-8.38378287567573
172,bw_only,3,6,0.0008508000173605978,-1.3862943611198906
173,ga_and_bw,3,6,1.388861800020095,-1.3862943611198904
174,random_only,3,6,0.0012543000048026443,-10.444636530930126
175,ga_only,3,6,1.3785403000074439,-3.958754051645044
176,bw_only,4,6,0.0015295000048354268,-2.4327906487188127
177,ga_and_bw,4,6,1.4108116999850608,-1.9095425048844386
178,random_only,4,6,0.0005109999910928309,-11.113396359006877
179,ga_only,4,6,1.4104299999889918,-4.583158828366264
180,bw_only,5,6,0.00110959995072335,4.440892098500628e-16
181,ga_and_bw,5,6,1.3963564000441693,-6.661338147750938e-16
182,random_only,5,6,0.00039220001781359315,-10.910239644979715
183,ga_only,5,6,1.4054150999872945,-1.4037921863100447
184,bw_only,6,6,0.001045099983457476,-4.512950306074411
185,ga_and_bw,6,6,1.4230379000073299,-3.9892807079559804
186,random_only,6,6,0.0004007000243291259,-14.995731283687315
187,ga_only,6,6,1.4529673000215553,-7.727078958510843
188,bw_only,7,6,0.001173799973912537,-4.682131227124222
189,ga_and_bw,7,6,1.4688172999885865,-4.68213122712422
190,random_only,7,6,0.0004469000268727541,-18.55385916130388
191,ga_only,7,6,1.4568299999809824,-8.64864496786566
192,bw_only,8,6,0.0008443999686278403,7.395570986446986e-32
193,ga_and_bw,8,6,1.3691971999942325,0.0
194,random_only,8,6,0.00042290001874789596,-6.3365921051941125
195,ga_only,8,6,1.4161250999895856,-1.6927778820553658
196,bw_only,9,6,0.001194500015117228,-11.613603032723672
197,ga_and_bw,9,6,1.4573782999650575,-8.841014316264623
198,random_only,9,6,0.0006124000065028667,-36.130095302866444
199,ga_only,9,6,1.3644689000211656,-12.46896371164476
200,bw_only,0,7,0.0010220999829471111,0.0
201,ga_and_bw,0,7,1.4489205999998376,7.395570986446986e-32
202,random_only,0,7,0.00045279995538294315,-12.523476885781172
203,ga_only,0,7,1.460137800022494,-5.099661922296587
204,bw_only,1,7,0.001024700002744794,-1.3862943612467242
